convo_id,speaker_A,speaker_B,n_trigrams,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,influence_A_toward_B,influence_B_toward_A,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_B,hull_overlap_area,hull_overlap_ratio_min,containment_A_in_B,containment_B_in_A,k_clusters,entropy_total,entropy_A,entropy_B,mi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_B,align_eps,align_lag_A_to_B,align_lag_B_to_A,align_lag_asymmetry_AminusB,expertise_A,expertise_B,expertise_A_ord,expertise_B_ord,expertise_gap_signed,expertise_gap_abs
wired_blockchain_12,Speaker 1 (Bettina Warburg),Speaker 2 (Child),152,112,40,0.4149226543,0.1483470839,-0.00288977823,1.047107755,0.8881755126,1.047107755,0.07638906018,0.2198126802,-0.14342362,1.308419616,0.04228613572,1.34368094,1.273158292,0.57927414,0.3262047408,0.2669638983,0.81839368,0.5089285714,0.775,12,3.529636752,3.44931397,2.749181459,0.1833846876,0.1213306292,1.039720771,0.8571428571,0.01948716969,0.06681803154,1.213444129,18.74468085,15.25,3.494680851,,Child,,0,,
wired_blockchain_13,Speaker 1 (Bettina Warburg),Speaker 3 (Teen - Ian),312,249,63,0.310968908,0.1324766719,-0.00106292539,1.048213965,0.9268508777,1.048213965,0.06654015608,0.1346054156,-0.06806525954,1.230387514,0.1320664432,1.234654631,1.226120397,0.6291493708,0.3260166671,0.3351507115,1.028017109,0.5662650602,1.0,12,3.450363365,3.479910749,2.757562624,0.08062090016,0.05570306674,1.366158848,0.7447556274,0.006140920751,0.03608763833,1.228146063,57.38586957,15.84126984,41.54459972,,Teen,,1,,
wired_blockchain_14,Speaker 1 (Bettina Warburg),Speaker 4 (College Student),371,325,46,0.3420720922,0.1127909057,-0.0009200982327,1.085462049,0.9528767307,1.085462049,0.052012394,0.181674285,-0.129661891,1.265771535,0.07045859541,1.252410817,1.279132252,0.6708292423,0.2943759235,0.2945302439,1.000524229,0.6215384615,1.0,12,3.515424031,3.507744134,3.095565423,0.0407470823,0.02898595915,0.7803552045,0.606781037,0.003561093053,0.04658218971,1.24413821,65.3106383,13.5,51.8106383,,College Student,,2,,
wired_blockchain_15,Speaker 1 (Bettina Warburg),Speaker 5 (Grad Student),484,296,188,0.2558461816,0.1348210957,-0.0007827920668,0.9627168113,0.9675089116,0.9675089116,0.06661297842,0.08976848449,-0.02315550606,1.273250849,0.09221088981,1.309879646,1.236622052,0.6777571447,0.5702472225,0.5653445765,0.9914025956,0.8885135135,0.9893617021,12,3.539390311,3.499952691,3.291659143,0.08341681915,0.05344904007,1.279854226,0.7432780957,0.004430024267,0.01159135758,1.237252391,34.58201058,29.88297872,4.699031859,,Graduate Student,,3,,
wired_blockchain_16,Speaker 6 (Expert),Speaker 1 (Bettina Warburg),1294,861,433,0.2287436728,0.1270010729,-0.0002952001278,0.9544272235,0.864412552,0.9544272235,0.03702743769,0.08074790999,-0.04372047229,1.277376399,0.07583742964,1.296126245,1.258626554,0.6760804983,0.6345480261,0.623098578,0.9819565304,0.9767711963,0.9769053118,12,3.394536596,3.360383698,3.321003673,0.03280685966,0.02194206379,0.8086717107,0.5089100146,0.000623358922,0.0009629343089,1.249042128,115.675644,65.02909091,50.64655312,Expert,Expert,4.0,4,0.0,0.0
wired_crispr_12,Speaker 1 (Neville Sanjana),Speaker 2 (Tegan - Child),112,105,7,0.5593158769,0.09328426976,-0.001746970717,1.146530492,1.000719427,1.146530492,0.1292264975,0.3984065455,-0.269180048,1.322014004,0.06293927828,1.283924216,1.398193579,0.7061689331,0.1306496688,0.1315457331,1.006858527,0.1714285714,1.0,11,3.40959633,3.397073554,1.664497779,0.08373825279,0.06448488118,0.6365141683,0.7336804367,0.02401061232,0.1886692774,1.254824826,36.38461538,13.16666667,23.21794872,,Child,,0,,
wired_crispr_13,Speaker 1 (Neville Sanjana),Speaker 3 (Bella - Teenager),266,175,91,0.4116173551,0.1776661087,-0.002060980649,1.00942913,0.9511589146,1.00942913,0.07308566613,0.1230476767,-0.04996201061,1.265514313,0.1734731556,1.340583875,1.190444751,0.6369829107,0.3856249139,0.3691028319,0.9571550452,0.7028571429,0.956043956,12,3.27089006,3.364956705,2.448530979,0.1521093595,0.1045558004,0.8116411031,0.5721892503,0.007388368767,0.01886897545,1.245390068,37.78688525,24.83516484,12.95172041,,Teen,,1,,
wired_crispr_14,Speaker 4 (Christopher - Student),Speaker 1 (Neville Sanjana),256,152,104,0.3445968889,0.1917842928,-0.002172986781,1.010032317,0.9435433402,1.010032317,0.07674568086,0.1189254946,-0.04217981377,1.240992322,0.05181109685,1.212889191,1.263474826,0.6241891926,0.6196385389,0.5792948238,0.9348915334,0.8421052632,0.9519230769,12,3.51409754,3.478344781,3.360840315,0.05787012899,0.03720054849,0.6869615766,0.4763642428,0.01305729034,0.02129906286,1.242332612,22.73636364,31.31313131,-8.576767677,,College Student,,2,,
wired_crispr_15,Speaker 1 (Neville Sanjana),Speaker 5 (Lauren Schiff),385,211,174,0.2902754966,0.130762508,-0.000950027411,0.9279823595,0.9256594166,0.9279823595,0.06573352718,0.11429707,-0.0485635428,1.284392008,0.05760214354,1.27026471,1.302051131,0.7406473729,0.6393620146,0.6476840561,1.013016165,0.9099526066,0.9827586207,12,3.450127943,3.337420383,3.356261118,0.072220756,0.04689707409,1.002718265,0.6267101096,0.005260054953,0.009043285592,1.253319575,37.6952381,25.91525424,11.77998386,,Graduate Student,,3,,
wired_crispr_16,Speaker 6 (Matthew Canver),Speaker 1 (Neville Sanjana),1767,935,832,0.1497264156,0.09284620889,-0.0001244854388,0.8271685001,0.8180571155,0.8271685001,0.03075723985,0.04969577999,-0.01893854015,1.278783249,0.1154266206,1.23866675,1.318899747,0.7243227176,0.739600599,0.7078003873,0.9771892695,0.9818181818,0.9831730769,12,3.354466137,3.313497866,3.358478564,0.0137166233,0.009094136933,0.8604299939,0.4460270391,0.0004964270122,0.0005542879462,1.243247279,50.48338692,53.58431373,-3.100926802,,Expert,,4,,
